カテゴリ,サブカテゴリ,問題番号,問題,選択肢A,選択肢B,選択肢C,選択肢D,正解
1. 人工知能とは,1.1 人工知能の定義,1,人工知能研究の歴史的な起源とされる会議はどれか？,ACM会議（1950年）,ダートマス会議（1956年）,IEEE国際会議（1960年）,ボストン会議（1962年）,B
1. 人工知能とは,1.1 人工知能の定義,2,「強いAI」と「弱いAI」の区別として正しいものはどれか？,強いAIは大量のデータを処理でき、弱いAIは少量のデータしか処理できない,強いAIはハードウェアに依存し、弱いAIはソフトウェアのみで動作する,強いAIは人間のような意識を持ち、弱いAIは特定のタスクのみをこなす,強いAIは企業で使用され、弱いAIは個人で使用される,C
1. 人工知能とは,1.1 人工知能の定義,3,現在実用化されているAIのほとんどはどのタイプに分類されるか？,強いAI（汎用人工知能）,弱いAI（特化型人工知能）,超知能AI,感情AI,B
1. 人工知能とは,1.1 人工知能の定義,4,チューリングテストに関する説明として正しいものはどれか？,コンピュータの処理速度を測定するテスト,人間の知能指数を測定するテスト,コンピュータが人間と区別できないほど会話できるかを判定するテスト,ロボットの身体能力を測定するテスト,C
1. 人工知能とは,1.1 人工知能の定義,5,人工知能の研究分野において「シンボルグラウンディング問題」とは何か？,AIシステムにおけるシンボル（記号）と実世界の意味との結びつけの問題,コンピュータグラフィックスにおける記号の表示方法,プログラミング言語における変数名の命名規則,数学記号をコンピュータで表現する方法,A
1. 人工知能とは,1.1 人工知能の定義,6,「特化型AI」と「汎用AI」の違いとして正しいものはどれか？,特化型AIは高価で、汎用AIは安価である,特化型AIは特定のタスクに特化し、汎用AIは多様なタスクに対応できる,特化型AIはオフラインで動作し、汎用AIはオンラインでのみ動作する,特化型AIは企業向けで、汎用AIは個人向けである,B
1. 人工知能とは,1.1 人工知能の定義,7,人工知能の「フレーム問題」に関する説明として最も適切なものはどれか？,AIシステムの画面表示に関する技術的問題,AIが実世界の状況変化に対応する際の関連情報の選択問題,動画フレームの認識に関する問題,AIハードウェアのフレームレートに関する問題,B
1. 人工知能とは,1.2 人工知能分野で活躍する技術,8,"人工知能とは

## 1.1 人工知能の定義

1. 人工知能（AI）の定義として最も適切なものはどれか？",コンピュータが人間の脳を完全に模倣したシステム,人間の知能を必要とするタスクをコンピュータに実行させる技術,機械学習のみを用いたプログラミング手法,ロボットを制御するためのソフトウェア,B
1. 人工知能とは,1.2 人工知能分野で活躍する技術,9,「エキスパートシステム」の特徴として最も適切なものはどれか？,専門家の知識をルールベースで表現し推論を行うシステム,大量のデータから自動的にパターンを学習するシステム,人間の脳の構造を模倣したニューラルネットワークを用いるシステム,遺伝的アルゴリズムを用いて最適解を探索するシステム,A
1. 人工知能とは,1.2 人工知能分野で活躍する技術,10,「機械学習」と「ディープラーニング」の関係として正しいものはどれか？,全く異なる技術分野である,ディープラーニングは機械学習の一種である,機械学習はディープラーニングの一種である,両者は同義語である,B
